ENSG00000187608 ISG15
ENSG00000261824 LINC00662
ENSG00000267575 CTC-459F4.3
ENSG00000105176 URI1
ENSG00000153879 CEBPG
ENSG00000089327 FXYD5
ENSG00000012124 CD22
ENSG00000126262 FFAR2
ENSG00000011590 ZBTB32
ENSG00000126264 HCST
ENSG00000011600 TYROBP
ENSG00000167642 SPINT2
ENSG00000167641 PPP1R14A
ENSG00000178982 EIF3K
ENSG00000104823 ECH1
ENSG00000130755 GMFG
ENSG00000128016 ZFP36
ENSG00000090924 PLEKHG2
ENSG00000105193 RPS16
ENSG00000090013 BLVRB
ENSG00000105372 RPS19
ENSG00000105369 CD79A
ENSG00000105404 RABAC1
ENSG00000176472 ZNF575
ENSG00000011422 PLAUR
ENSG00000130202 PVRL2
ENSG00000125740 FOSB
ENSG00000105373 GLTSCR2
ENSG00000268001 CTC-241F20.3
ENSG00000142227 EMP3
ENSG00000063177 RPL18
ENSG00000087086 FTL
ENSG00000104894 CD37
ENSG00000142541 RPL13A
ENSG00000142534 RPS11
ENSG00000104870 FCGRT
ENSG00000142546 NOSIP
ENSG00000224420 ADM5
ENSG00000105374 NKG7
ENSG00000105501 SIGLEC5
ENSG00000171051 FPR1
ENSG00000189068 VSTM1
ENSG00000125505 MBOAT7
ENSG00000170889 RPS9
ENSG00000204577 LILRB3
ENSG00000170866 LILRA3
ENSG00000182909 LENG9
ENSG00000167618 LAIR2
ENSG00000239998 LILRA2
ENSG00000243772 KIR2DL3
ENSG00000167634 NLRP7
ENSG00000105048 TNNT1
ENSG00000108107 RPL28
ENSG00000213015 ZNF580
ENSG00000131848 ZSCAN5A
ENSG00000251369 ZNF550
ENSG00000083845 RPS5
ENSG00000100056 DGCR14
ENSG00000128228 SDF2L1
ENSG00000100034 PPM1F
ENSG00000254709 IGLL5
ENSG00000128218 VPREB3
ENSG00000099958 DERL3
ENSG00000128294 TPST2
ENSG00000100122 CRYBB1
ENSG00000100219 XBP1
ENSG00000184117 NIPSNAP1
ENSG00000100330 MTMR3
ENSG00000100292 HMOX1
ENSG00000100353 EIF3D
ENSG00000128309 MPST
ENSG00000128340 RAC2
ENSG00000100079 LGALS2
ENSG00000100097 LGALS1
ENSG00000100101 NOL12
ENSG00000239713 APOBEC3G
ENSG00000100316 RPL3
ENSG00000159958 TNFRSF13C
ENSG00000100300 TSPO
ENSG00000226328 CTA-217C2.1
ENSG00000025708 TYMP
ENSG00000232855 AF131217.1
ENSG00000180509 KCNE1
ENSG00000160190 SLC37A1
ENSG00000160255 ITGB2
ENSG00000197381 ADARB1
ENSG00000160307 S100B
ENSG00000198888 MT-ND1
ENSG00000198763 MT-ND2
ENSG00000198804 MT-CO1
ENSG00000198712 MT-CO2
ENSG00000198938 MT-CO3
ENSG00000198886 MT-ND4
ENSG00000198727 MT-CYB
